system:index,system:index,Oa18_radiance,Oa20_radiance,Oa21_radiance,PRODUCT_ID,SNAP_Graph_Processing_Framework_GPF_vers,SNAP_Raster_Operators_vers,brightPixelsPercent,chla,coastalPixelsPercent,cosmeticPixelsPercent,cycle_num,dubiousSamplesPercent,duplicatedPixelsPercent,freshInlandWaterPixelsPercent,groundTrackDirection,invalidPixelsPercent,ndci,orbitNumber,processing_facility_country,processing_facility_name,processing_facility_organisation,processing_facility_site,processing_hardware,processing_software_name,processing_software_version,processing_time,product,productQuality,relative_orbit_num,salineWaterPixelsPercent,saturatedPixelsPercent,sp,spacecraft,status,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_end,system:time_start,system:version,tidalRegionPixelsPercent,timeliness,turbidity,.geo
S3A_20170102T021557_20170102T021857,S3A_20220102T021557_20220102T021858,56.28106053,37.45013076,16.08542088,S3A_OL_1_EFR____20220102T021557_20220102T021857_20220103T062332_0180_080_217_2700_LN1_O_NT_002,8.0.3,8.0.3,43,276.6533033,0,0,80,0,22,0,descending,4,-0.434276217,30605,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,217,91,1.49E-04,0.259320252,S3A,permanent,423403575,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(122.03897903761512,11.170280109243958, 122.06959539653559,12.810526089857168, 122.144677531166,16.090121113666747, 122.23936113917601,19.368278560661576, 122.29467241513393,21.00958654586102, 114.85514388567559,21.078628892090332, 107.45629510456439,20.823906076732023, 107.60031196393302,18.386560495810368, 107.68457018852045,16.762688091893093, 107.75996371808334,15.138191232716066, 107.82681991351234,13.513134910900577, 107.88542419011512,11.887582634771013, 107.93602296761918,10.261596672364696, 107.9974250143543,7.819077384813713, 121.99090335040074,7.886212467154089, 122.01279780831618,9.529783642492022, 122.03897903761512,11.170280109243958)",COPERNICUS/S3/OLCI/S3A_20220102T021557_20220102T021857,1.64E+12,1.64E+12,1.64E+15,0,NT,12.83116452,"{""type"":""Polygon"",""coordinates"":[[[122.03897903761512,11.170280109243958],[122.06959539653559,12.810526089857166],[122.144677531166,16.090121113666747],[122.23936113917601,19.36827856066158],[122.29467241513396,21.00958654586102],[114.85514388567559,21.07862889209033],[107.4562951045644,20.823906076732023],[107.60031196393304,18.386560495810368],[107.68457018852045,16.762688091893093],[107.75996371808336,15.138191232716062],[107.82681991351235,13.513134910900577],[107.88542419011513,11.887582634771013],[107.9360229676192,10.261596672364698],[107.9974250143543,7.819077384813712],[121.99090335040074,7.886212467154089],[122.01279780831618,9.529783642492022],[122.03897903761512,11.170280109243958]]]}"
S3A_20170103T014946_20170103T015246,S3A_20220103T014946_20220103T015247,47.48651933,31.17790716,13.85604744,S3A_OL_1_EFR____20220103T014946_20220103T015246_20220103T034102_0179_080_231_2700_LN1_O_NR_002,8.0.3,8.0.3,33,258.2078845,0,0,80,0,22,0,descending,4,-0.387352601,30619,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,231,87,4.10E-05,0.25058948,S3A,provisional,404762805,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(128.5656878079701,11.157899530741682, 128.59938737128314,12.793595005273627, 128.682002587558,16.064037732273917, 128.78614765517227,19.33295764498906, 128.84697092313888,20.96960274427872, 121.42379459433536,21.062929123683805, 114.03041330449034,20.833458953388888, 114.16565294195335,18.396849001147622, 114.24478317531577,16.773526923959967, 114.31559472914678,15.149624252985047, 114.37839509574432,13.525200691829633, 114.43345250276336,11.900315028735921, 114.48099819856495,10.275024726766004, 114.53871577480041,7.833598840770643, 128.51274685566923,7.88289795676771, 128.53686185228142,9.52193960897644, 128.5656878079701,11.157899530741682)",COPERNICUS/S3/OLCI/S3A_20220103T014946_20220103T015246,1.64E+12,1.64E+12,1.64E+15,1,NR,11.38554116,"{""type"":""Polygon"",""coordinates"":[[[128.5656878079701,11.157899530741682],[128.59938737128314,12.793595005273628],[128.682002587558,16.064037732273913],[128.78614765517227,19.332957644989065],[128.84697092313888,20.969602744278724],[121.42379459433536,21.06292912368381],[114.03041330449034,20.83345895338889],[114.16565294195337,18.396849001147626],[114.24478317531577,16.773526923959967],[114.31559472914678,15.149624252985046],[114.37839509574432,13.525200691829632],[114.43345250276336,11.900315028735921],[114.48099819856496,10.275024726766002],[114.53871577480042,7.833598840770643],[128.51274685566923,7.882897956767708],[128.53686185228142,9.521939608976442],[128.5656878079701,11.157899530741682]]]}"
S3A_20170104T012335_20170104T012635,S3A_20220104T012335_20220104T012636,42.83617892,30.32826951,16.51310006,S3A_OL_1_EFR____20220104T012335_20220104T012635_20220105T050001_0179_080_245_2700_LN1_O_NT_002,8.0.3,8.0.3,31,164.7436891,0,0,80,0,22,0,descending,4,-0.337401643,30633,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,245,95,1.28E-04,0.271777192,S3A,permanent,409748435,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(135.09266119013873,11.145627873643928, 135.12941938426857,12.7764986743809, 135.21949947092668,16.03723608665132, 135.33300935476805,19.296357809417103, 135.39928423749413,20.928056454380634, 127.99225926401137,21.04551638471224, 120.60422146978381,20.841208679215086, 120.73067696051002,18.40579953436158, 120.80467562051535,16.78333443347947, 120.87090214075765,15.160329712972919, 120.92964415103539,13.536840526798116, 120.98115231032176,11.912920824634561, 121.02564294248634,10.288623973378371, 121.07967316511028,7.848734888834299, 135.03488661013583,7.880236414555553, 135.0612091009541,9.51447719414887, 135.09266119013873,11.145627873643928)",COPERNICUS/S3/OLCI/S3A_20220104T012335_20220104T012635,1.64E+12,1.64E+12,1.64E+15,1,NT,9.460764029,"{""type"":""Polygon"",""coordinates"":[[[135.09266119013873,11.14562787364393],[135.12941938426857,12.776498674380898],[135.21949947092668,16.037236086651316],[135.33300935476805,19.296357809417106],[135.39928423749413,20.928056454380634],[127.99225926401137,21.04551638471224],[120.60422146978381,20.841208679215086],[120.73067696051002,18.40579953436158],[120.80467562051538,16.78333443347947],[120.87090214075765,15.160329712972919],[120.9296441510354,13.536840526798116],[120.98115231032176,11.912920824634561],[121.02564294248634,10.288623973378371],[121.07967316511028,7.848734888834299],[135.03488661013583,7.880236414555553],[135.0612091009541,9.514477194148872],[135.09266119013873,11.14562787364393]]]}"
S3A_20170106T021213_20170106T021513,S3A_20220106T021213_20220106T021514,45.10012567,31.69957489,16.87768138,S3A_OL_1_EFR____20220106T021213_20220106T021513_20220107T071205_0179_080_274_2700_LN1_O_NT_002,8.0.3,8.0.3,38,268.3117047,0,0,80,0,22,0,descending,4,-0.373743715,30662,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,274,93,9.20E-05,0.273947112,S3A,permanent,436171106,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(122.94316721664194,11.151350609208675, 122.97906939314899,12.783700298677049, 123.06705949392644,16.04741140330472, 123.17794685911534,19.30953364142363, 123.24269520503027,20.942746023746874, 115.83113300496449,21.05339088055079, 108.44161478773685,20.841937793273484, 108.57058584580312,18.406017259137343, 108.64605456116317,16.783195389422673, 108.71359495915462,15.159822374761317, 108.77350055457045,13.535954723059037, 108.8260269917527,11.911647707334705, 108.8713948994949,10.286955852234488, 108.92648593058863,7.846461187735908, 122.88674449241458,7.883012899385812, 122.91244977637709,9.51872558202243, 122.94316721664194,11.151350609208675)",COPERNICUS/S3/OLCI/S3A_20220106T021213_20220106T021513,1.64E+12,1.64E+12,1.64E+15,0,NT,11.79782953,"{""type"":""Polygon"",""coordinates"":[[[122.94316721664194,11.151350609208675],[122.97906939314899,12.783700298677049],[123.06705949392644,16.04741140330472],[123.17794685911534,19.30953364142363],[123.24269520503027,20.942746023746874],[115.83113300496451,21.05339088055079],[108.44161478773687,20.841937793273484],[108.57058584580312,18.406017259137343],[108.64605456116318,16.783195389422673],[108.71359495915463,15.159822374761317],[108.77350055457045,13.535954723059037],[108.8260269917527,11.911647707334705],[108.8713948994949,10.286955852234488],[108.92648593058864,7.846461187735908],[122.88674449241458,7.883012899385812],[122.91244977637709,9.51872558202243],[122.94316721664194,11.151350609208675]]]}"
S3A_20170107T014602_20170107T014902,S3A_20220107T014602_20220107T014903,44.11370638,26.48793206,8.01447246,S3A_OL_1_EFR____20220107T014602_20220107T014902_20220108T062330_0179_080_288_2700_LN1_O_NT_002,8.0.3,8.0.3,30,457.4454734,0,0,80,0,22,0,descending,4,-0.482126672,30676,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,288,87,3.90E-05,0.252947075,S3A,permanent,389669086,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(129.4705546358338,11.148603608301508, 129.50953304719397,12.776007972178231, 129.60501411556118,16.029768387622116, 129.72527938273413,19.281840247205075, 129.79548052343054,20.90997713716111, 122.40024920591472,21.044724775547866, 115.01629194501066,20.858349581802322, 115.13652997453111,18.42384403292458, 115.20689980390203,16.80201858102023, 115.26988719981625,15.17968114046967, 115.32576558770307,13.556883297864495, 115.374773473979,11.933676078505691, 115.4171165678709,10.31010978263988, 115.46856486452938,7.871347919451988, 129.40925395787514,7.890113977866262, 129.4371904694822,9.520907357769179, 129.4705546358338,11.148603608301508)",COPERNICUS/S3/OLCI/S3A_20220107T014602_20220107T014902,1.64E+12,1.64E+12,1.64E+15,1,NT,14.89224381,"{""type"":""Polygon"",""coordinates"":[[[129.4705546358338,11.148603608301508],[129.50953304719397,12.776007972178231],[129.60501411556118,16.029768387622116],[129.72527938273413,19.28184024720508],[129.79548052343054,20.90997713716111],[122.40024920591472,21.044724775547866],[115.01629194501066,20.858349581802322],[115.13652997453111,18.42384403292458],[115.20689980390203,16.80201858102023],[115.26988719981625,15.17968114046967],[115.32576558770307,13.556883297864495],[115.374773473979,11.933676078505693],[115.4171165678709,10.31010978263988],[115.46856486452938,7.871347919451989],[129.40925395787514,7.89011397786626],[129.4371904694822,9.52090735776918],[129.4705546358338,11.148603608301508]]]}"
S3A_20170110T020830_20170110T021130,S3A_20220110T020830_20220110T021131,20.25637439,12.64308994,4.366967548,S3A_OL_1_EFR____20220110T020830_20220110T021130_20220111T055015_0179_080_331_2700_LN1_O_NT_002,8.0.3,8.0.3,10,261.5858658,0,0,80,0,22,0,descending,4,-0.441163013,30719,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,331,92,2.20E-05,0.331852932,S3A,permanent,338528104,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(123.84116363951846,11.125162246873161, 123.88223512435061,12.749716197456385, 123.98284208462346,15.997731236974438, 124.10955600557705,19.243983789494695, 124.18351620845633,20.86917401752054, 116.80013847375318,21.02066360464132, 109.42050943130047,20.852004592389964, 109.49845509529995,19.228256167628295, 109.56880215673343,17.60678800962835, 109.63200349077975,15.984808915100402, 109.68833610597785,14.362367976022618, 109.73804255386712,12.739513741910947, 109.78133311038054,11.116294093540866, 109.81838833823214,9.49275651669908, 109.849414717851,7.866102741520558, 123.7765735357612,7.872342017142449, 123.80600852656833,9.500304370483216, 123.84116363951846,11.125162246873161)",COPERNICUS/S3/OLCI/S3A_20220110T020830_20220110T021130,1.64E+12,1.64E+12,1.64E+15,0,NT,14.07458359,"{""type"":""Polygon"",""coordinates"":[[[123.84116363951846,11.12516224687316],[123.88223512435061,12.749716197456385],[123.98284208462346,15.997731236974435],[124.10955600557705,19.243983789494692],[124.18351620845633,20.86917401752054],[116.80013847375318,21.020663604641317],[109.42050943130049,20.852004592389964],[109.49845509529995,19.228256167628295],[109.56880215673344,17.606788009628346],[109.63200349077977,15.984808915100402],[109.68833610597787,14.362367976022618],[109.73804255386713,12.73951374191095],[109.78133311038054,11.116294093540866],[109.81838833823215,9.49275651669908],[109.849414717851,7.866102741520558],[123.7765735357612,7.872342017142449],[123.80600852656833,9.500304370483217],[123.84116363951846,11.12516224687316]]]}"
S3A_20170111T014219_20170111T014519,S3A_20220111T014219_20220111T014520,29.34463219,18.66539992,6.888313613,S3A_OL_1_EFR____20220111T014219_20220111T014519_20220111T033702_0179_080_345_2700_LN1_O_NR_002,8.0.3,8.0.3,13,312.9748025,0,0,80,1,22,0,descending,4,-0.41651202,30733,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,345,87,1.45E-04,0.311673458,S3A,provisional,337664422,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(116.3268050051168,11.130407431214929, 116.36106156952107,9.507884075936937, 116.38975530293794,7.88226594130627, 130.29830906647024,7.8707925810075645, 130.3480164120174,10.304099344637404, 130.3889115569882,11.924046023185042, 130.43623294463706,13.543646137390397, 130.49017841498008,15.16285132184702, 130.55097712112234,16.78161266896216, 130.61889185442936,18.399880538970866, 130.73491547312216,20.829083533185283, 123.36762759769042,21.004344348559965, 115.99346820839003,20.86060042736551, 116.06545831465887,19.23768674859385, 116.18881957209682,15.996019782915207, 116.28679494980786,12.752633793126089, 116.3268050051168,11.130407431214929)",COPERNICUS/S3/OLCI/S3A_20220111T014219_20220111T014519,1.64E+12,1.64E+12,1.64E+15,1,NR,13.43692341,"{""type"":""Polygon"",""coordinates"":[[[116.32680500511682,11.130407431214929],[116.3610615695211,9.507884075936936],[116.38975530293794,7.88226594130627],[130.29830906647024,7.8707925810075645],[130.3480164120174,10.304099344637402],[130.3889115569882,11.924046023185042],[130.43623294463706,13.543646137390398],[130.49017841498008,15.162851321847016],[130.55097712112237,16.78161266896216],[130.61889185442936,18.39988053897087],[130.73491547312216,20.829083533185287],[123.36762759769042,21.00434434855996],[115.99346820839003,20.86060042736551],[116.0654583146589,19.237686748593852],[116.18881957209682,15.996019782915207],[116.28679494980786,12.752633793126089],[116.32680500511682,11.130407431214929]]]}"
S3A_20170114T020446_20170114T020746,S3A_20220114T020446_20220114T020747,45.41521029,30.72083173,12.75828714,S3A_OL_1_EFR____20220114T020446_20220114T020746_20220115T064627_0179_081_003_2700_LN1_O_NT_002,8.0.3,8.0.3,31,195.5929832,0,0,81,0,22,0,descending,4,-0.428479103,30776,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,3,91,1.17E-04,0.27914578,S3A,permanent,406869818,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(110.71574216549396,11.140364488442806, 110.74800309443278,9.518606072264872, 110.7750325697034,7.893767557400882, 124.66873017590837,7.869702595315674, 124.72085951811908,10.297901193101309, 124.76373261940839,11.914428744923486, 124.81333250969774,13.530594608985078, 124.86986562386491,15.146348140957269, 124.93357073883561,16.761638041842296, 125.00472214648262,18.37641202681965, 125.12625477320691,20.800322918394823, 117.77131194972105,20.992371788109015, 110.40198382472005,20.86634458592106, 110.46973332767328,19.24407696406247, 110.58583969591027,16.003775201655085, 110.6780702545737,12.761839854333445, 110.71574216549396,11.140364488442806)",COPERNICUS/S3/OLCI/S3A_20220114T020446_20220114T020746,1.64E+12,1.64E+12,1.64E+15,1,NT,12.15518916,"{""type"":""Polygon"",""coordinates"":[[[110.71574216549398,11.140364488442808],[110.74800309443278,9.518606072264872],[110.77503256970341,7.893767557400882],[124.66873017590837,7.869702595315674],[124.72085951811908,10.29790119310131],[124.76373261940839,11.914428744923486],[124.81333250969774,13.530594608985082],[124.86986562386491,15.146348140957269],[124.93357073883561,16.761638041842296],[125.00472214648262,18.37641202681965],[125.12625477320691,20.800322918394826],[117.77131194972105,20.99237178810901],[110.40198382472006,20.866344585921063],[110.46973332767328,19.24407696406247],[110.58583969591027,16.00377520165509],[110.67807025457371,12.761839854333447],[110.71574216549398,11.140364488442808]]]}"
S3A_20170115T013836_20170115T014136,S3A_20220115T013836_20220115T014137,44.55458242,31.39697914,15.03068995,S3A_OL_1_EFR____20220115T013836_20220115T014136_20220116T055742_0179_081_017_2700_LN1_O_NT_002,8.0.3,8.0.3,32,152.4403889,0,0,81,0,22,0,descending,4,-0.369406647,30790,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,17,88,1.70E-05,0.274129946,S3A,permanent,402824887,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(117.26101153514487,11.153296859104113, 117.29047884612356,9.532261365269196, 117.3151755002621,7.908164350814893, 131.18982649208337,7.866434965972558, 131.24535310800667,10.288015145196107, 131.2910018221765,11.900109230548061, 131.343799496725,13.511819137256158, 131.40396456167636,15.123090656015162, 131.47174969547265,16.733868831790943, 131.54744457196523,18.344097626795836, 131.6767108997573,20.761114871825463, 124.33809195955611,20.97668461556925, 116.97459083758315,20.875426268021663, 117.0364248370179,19.253728031242396, 117.142404965016,16.014659318651596, 117.22660954533416,12.77406738149079, 117.26101153514487,11.153296859104113)",COPERNICUS/S3/OLCI/S3A_20220115T013836_20220115T014136,1.64E+12,1.64E+12,1.64E+15,1,NT,10.39025188,"{""type"":""Polygon"",""coordinates"":[[[117.26101153514487,11.153296859104115],[117.29047884612356,9.532261365269196],[117.3151755002621,7.908164350814893],[131.18982649208337,7.866434965972558],[131.24535310800667,10.288015145196107],[131.2910018221765,11.90010923054806],[131.343799496725,13.511819137256158],[131.40396456167636,15.123090656015158],[131.47174969547265,16.733868831790943],[131.54744457196523,18.344097626795836],[131.6767108997573,20.761114871825463],[124.33809195955611,20.97668461556925],[116.97459083758318,20.875426268021666],[117.03642483701793,19.253728031242396],[117.142404965016,16.014659318651596],[117.22660954533417,12.77406738149079],[117.26101153514487,11.153296859104115]]]}"
S3A_20170118T020103_20170118T020403,S3A_20220118T020103_20220118T020404,39.84436006,26.13758459,10.47295695,S3A_OL_1_EFR____20220118T020103_20220118T020403_20220119T055631_0179_081_060_2700_LN1_O_NT_002,8.0.3,8.0.3,26,278.2627357,0,0,81,0,22,0,descending,4,-0.441932649,30833,EU,Land OLCI Processing and Archiving Centre [LN1],European Space Agency,Cloud Service Provider,OPE,PUG,3.39,1.64E+12,OL_1_EFR___,PASSED,60,89,5.10E-05,0.265507979,S3A,permanent,399628451,"[Oa18_radiance, Oa20_radiance, Oa21_radiance, Oa11_radiance, ndci, sp, turbidity, chla]",<Element>,"LinearRing(111.64914133615376,11.162168188831622, 111.6766217921423,9.541503876340993, 111.69965792535541,7.917790498051895, 125.5598589121053,7.8635205452804895, 125.6177910543686,10.280628555913328, 125.66540503266688,11.889725376130931, 125.720466795398,13.49842089524908, 125.78320318313195,15.106658535933695, 125.85387641728965,16.714380549425012, 125.93278736930024,18.321528139752814, 126.067527127985,20.733866685097883, 118.74097993903403,20.966064896417322, 111.38213097159952,20.88238804002222, 111.43976730684068,19.26096088375153, 111.53855960114267,16.0224957244454, 111.61706354448494,12.782579307772817, 111.64914133615376,11.162168188831622)",COPERNICUS/S3/OLCI/S3A_20220118T020103_20220118T020403,1.64E+12,1.64E+12,1.64E+15,1,NT,13.08815681,"{""type"":""Polygon"",""coordinates"":[[[111.64914133615376,11.162168188831622],[111.67662179214231,9.541503876340995],[111.69965792535542,7.917790498051897],[125.5598589121053,7.8635205452804895],[125.6177910543686,10.28062855591333],[125.66540503266688,11.889725376130931],[125.720466795398,13.49842089524908],[125.78320318313195,15.106658535933695],[125.85387641728965,16.714380549425012],[125.93278736930024,18.321528139752814],[126.067527127985,20.733866685097883],[118.74097993903406,20.966064896417326],[111.38213097159954,20.88238804002222],[111.43976730684068,19.260960883751533],[111.53855960114267,16.022495724445395],[111.61706354448494,12.782579307772817],[111.64914133615376,11.162168188831622]]]}"
