Year,Month,1,2,4,5,8,13,15,16,17,18,19,20,21,22,23
2017,4,*,*,"329,473","88,322",*,*,*,"92,855",*,*,,,,,
2017,5,*,*,"75,663","102,077",*,*,*,*,*,*,,,,,
2017,7,*,"52,753",*,"73,214",*,*,*,*,*,"101,575",,,,,
2017,9,"53,924",*,"408,535",*,*,*,"430,002","380,718","77,709",*,,,,,
2017,10,"57,616",*,*,*,"331,017",*,*,*,*,*,,,,,
2017,11,"336,456",*,*,*,*,*,"59,853",*,*,*,,,,,
2018,5,*,*,*,*,*,*,*,"73,017",*,*,,,,,
2018,6,*,*,*,"52,914",*,*,*,*,*,*,,,,,
2018,7,*,*,*,*,*,*,*,"57,635",*,*,,,,,
2018,8,*,"52,172",*,*,*,*,"52,857",*,*,*,,,,,
2018,9,"412,059",*,"67,993",*,*,*,"51,587","98,309",*,*,,,,,
2018,10,*,"63,187",*,*,*,*,*,*,*,*,,,,,
2018,11,*,*,"111,014","61,823",*,*,*,*,*,*,,,,,
2018,12,"58,151",*,*,*,*,*,*,"73,059",*,*,,,,,
2019,5,"94,992",*,*,*,*,*,*,*,*,*,,,,,
2019,6,"186,554",*,*,"88,910",*,*,"68,482","77,115",*,"56,772",,,,,
2019,7,*,*,*,"52,097",*,*,*,*,*,*,,,,,
2020,1,*,*,"64,047",*,"94,422",*,*,*,*,*,,,,,
2020,2,*,*,*,*,"65,307",*,*,*,*,*,,,,,
2020,9,"61,989",*,"72,148","51,418","88,372",*,*,"83,982","86,790",*,,,,,
2020,10,"160,241","60,818","101,097",*,"125,574",*,*,*,*,*,,,,,
2020,11,*,*,"114,303","64,938",*,*,*,*,*,*,,,,,
2021,1,*,*,*,*,*,*,*,*,*,"53,914",*,*,*,*,*
2021,2,*,*,*,*,*,*,*,*,*,*,*,*,*,"56,397","65,777"
2021,3,"96,652",*,*,"75,117","79,176","93,445","123,426","193,389",*,*,"104,275","80,152",*,*,*
2021,5,*,"68,660",*,"60,833","58,713","81,979","98,412","129,804","56,676",*,"98,592",,*,*,*
2021,6,*,"576,581","970,217","492,902","1,145,724","1,001,796","601,902","164,530","149,820","665,662","403,552","159,929","539,199","437,761","586,080"
2021,7,*,"53,888",*,"125,205","111,387","199,310","141,935",*,*,*,"63,761",*,,"94,431",*
2021,9,*,*,"550,846","952,237","487,383","126,893","390,309","418,899","702,659",*,"127,031",*,"131,451","460,306",*
2021,11,*,*,*,"112,052",*,"145,074","93,278",*,*,"55,505","421,301",*,*,*,*
