YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2017,1,1,0,31.931,23.6
2017,1,2,0,31,24.6
2017,1,3,0,32.5,25.2
2017,1,4,-1,31.3,24.2
2017,1,5,0.45,29.7,22.78
2017,1,6,0,32.2,22.8
2017,1,7,0,31.9,21.9
2017,1,8,0,29.6,22.8
2017,1,9,0,31.4,25.5
2017,1,10,25,28.2,24.5
2017,1,11,-1,28.9,24
2017,1,12,0,29.8,23.1
2017,1,13,0,32.1,24.5
2017,1,14,-1,30.1,24.2
2017,1,15,-1,29.6,25
2017,1,16,0,28.8,23.5
2017,1,17,0,30.4,24.4
2017,1,18,0,31.2,23.2
2017,1,19,0,30.3,23.4
2017,1,20,0,29.6,23.3
2017,1,21,0,31.5,23.3
2017,1,22,3.5,30.4,24
2017,1,23,5,30,22.5
2017,1,24,4,28.4,22.8
2017,1,25,-1,29.9,23.6
2017,1,26,0.5,29.1,22.7
2017,1,27,0,29.7,22
2017,1,28,-1,29.7,23
2017,1,29,0,31,24.4
2017,1,30,0,31.6,25.3
2017,1,31,0.5,31.6,24.8
2017,2,1,8,32.6,24.3
2017,2,2,3,29.8,23.9
2017,2,3,-1,30.1,21.9
2017,2,4,0,30.2,22.6
2017,2,5,0,31.5,23.1
2017,2,6,-1,29.3,23.4
2017,2,7,0,32.1,23.5
2017,2,8,0,29.8,22.9
2017,2,9,-1,30.9,23.9
2017,2,10,0,30.6,23
2017,2,11,-1,30,23.5
2017,2,12,0,28.6,22.5
2017,2,13,-1,27.5,20.9
2017,2,14,0,29.3,21.1
2017,2,15,0,29.8,21.1
2017,2,16,0,30.4,22.5
2017,2,17,0,29.8,24.5
2017,2,18,20.5,28.5,23.6
2017,2,19,-1,27.6,23.4
2017,2,20,0,31.5,25.7
2017,2,21,0,32.7,23.3
2017,2,22,0,32.5,23.5
2017,2,23,0,32.4,25.4
2017,2,24,0,32.9,24.8
2017,2,25,0,32.6,25.2
2017,2,26,0,32,25.5
2017,2,27,0,32.6,24.4
2017,2,28,-1,31.9,23.9
2017,3,1,0,32,24.7
2017,3,2,0.5,30.3,25
2017,3,3,1.5,30.1,23.6
2017,3,4,-1,29.5,23.3
2017,3,5,0,31.9,22
2017,3,6,0,32.8,22.6
2017,3,7,0,32.6,23.4
2017,3,8,0,32.5,23.3
2017,3,9,0,30.6,22.2
2017,3,10,0,32.4,22.7
2017,3,11,0,33.4,23.4
2017,3,12,0,34,25
2017,3,13,0,33.3,26.4
2017,3,14,-1,34.4,24.7
2017,3,15,-1,32.4,25.2
2017,3,16,0,32.7,25.2
2017,3,17,0,32.5,24.1
2017,3,18,0,32.5,22.89
2017,3,19,0,32.3,23
2017,3,20,0,32.4,24
2017,3,21,1.5,31.5,24.6
2017,3,22,0,34.8,25.8
2017,3,23,0,35.4,27.1
2017,3,24,0,34.7,25.5
2017,3,25,0,35.2,24.6
2017,3,26,0,34.9,25.3
2017,3,27,0,32.9,26
2017,3,28,0,32.3,25.8
2017,3,29,0,33.4,25.5
2017,3,30,0,33.5,22.5
2017,3,31,0,34.3,25.2
2017,4,1,2,33.4,25.7
2017,4,2,-1,31.8,25.2
2017,4,3,0,32.4,23
2017,4,4,0,30.9,23.2
2017,4,5,0,32,23.5
2017,4,6,0,32.9,25.5
2017,4,7,0,34.5,26.7
2017,4,8,0,34.7,27.7
2017,4,9,0,35.6,26.6
2017,4,10,0,37,27.6
2017,4,11,0,34.6,27.2
2017,4,12,0,35,24.6
2017,4,13,0,35,24.3
2017,4,14,0,34.8,26.8
2017,4,15,-1,35,25.8
2017,4,16,4.5,33.4,25.7
2017,4,17,1,35,26.6
2017,4,18,0,34,26.7
2017,4,19,1.5,33.7,27.1
2017,4,20,6.5,36.4,26.2
2017,4,21,0,36.7,28.2
2017,4,22,9,33.7,25.7
2017,4,23,13,33.5,23.5
2017,4,24,0,35.2,26.5
2017,4,25,0,35,25.9
2017,4,26,0,35.6,27.5
2017,4,27,0.5,34.8,27.2
2017,4,28,-1,34.2,26.4
2017,4,29,0,34.7,27.5
2017,4,30,0,33.5,26.8
2017,5,1,0,35.9,27.1
2017,5,2,0,36,27.8
2017,5,3,1.5,36,26.2
2017,5,4,0,36.5,27.1
2017,5,5,0,35.5,27.6
2017,5,6,0,36,27.3
2017,5,7,0,35.5,27
2017,5,8,0,35.5,27.3
2017,5,9,0,36.1,27.6
2017,5,10,0,35.8,28.1
2017,5,11,0,35.9,27.8
2017,5,12,0,35.8,28.2
2017,5,13,0,36.4,28.2
2017,5,14,0,34.3,28
2017,5,15,0,36.2,26.9
2017,5,16,0,35.2,28.3
2017,5,17,-1,34.1,27.2
2017,5,18,-1,35.3,27.9
2017,5,19,14.5,36.3,25.9
2017,5,20,0,33.3,27.9
2017,5,21,1,33.4,27
2017,5,22,2.5,33.5,26.8
2017,5,23,0.5,32.7,27.8
2017,5,24,19.5,32.2,26
2017,5,25,1.5,30.6,26.8
2017,5,26,15,32.5,26
2017,5,27,8,34.3,26.3
2017,5,28,1,35,26
2017,5,29,-1,36.5,27.1
2017,5,30,5,36.4,25.2
2017,5,31,0,33.7,27.8
2017,6,1,0,33.7,27.6
2017,6,2,-1,33.3,27.6
2017,6,3,0,33.3,27.6
2017,6,4,0,33.3,27.4
2017,6,5,-1,32.5,27.3
2017,6,6,0,35.4,27.5
2017,6,7,17.5,34.1,24.8
2017,6,8,0.5,35.1,27.3
2017,6,9,24.5,34.1,25.4
2017,6,10,1,30.2,25.4
2017,6,11,-999,32.8,24.4
2017,6,12,0,34.9,27
2017,6,13,0,35.9,28.1
2017,6,14,-1,36.3,27.8
2017,6,15,1,34,25.1
2017,6,16,0,33.48,27.3
2017,6,17,-1,33.5,27.4
2017,6,18,-1,34.8,27.5
2017,6,19,-999,35.3,26.9
2017,6,20,20.5,34.8,25
2017,6,21,7.5,34.3,25.9
2017,6,22,33,32.5,23.3
2017,6,23,-1,31.2,27.3
2017,6,24,12.5,33.3,24.4
2017,6,25,0,35.9,26.5
2017,6,26,12.5,35.1,25
2017,6,27,1.5,33,26
2017,6,28,3,32.6,25
2017,6,29,28.5,34.3,24.1
2017,6,30,5.5,35.6,25
2017,7,1,-1,35.3,26.7
2017,7,2,28,33.6,23.8
2017,7,3,15,33.4,24.8
2017,7,4,1.5,32.2,26.3
2017,7,5,32,33.6,24.3
2017,7,6,0,35.1,26.6
2017,7,7,-1,34.9,27
2017,7,8,1.5,34,25.3
2017,7,9,-1,32.4,27.6
2017,7,10,-1,33.9,26.2
2017,7,11,2,33,25.7
2017,7,12,-1,32.78,25.5
2017,7,13,2.5,33.2,25.2
2017,7,14,10,32,25.1
2017,7,15,25.5,32.2,24.7
2017,7,16,0.5,32,25.8
2017,7,17,0.5,34.7,26.6
2017,7,18,-1,31.9,25.7
2017,7,19,3,30.6,25
2017,7,20,7,30.5,25.1
2017,7,21,18.5,31.9,24.6
2017,7,22,6.5,30.9,24.4
2017,7,23,0,31.3,26.3
2017,7,24,-1,31.6,25.9
2017,7,25,13.5,31.8,24.3
2017,7,26,40,28.8,24.5
2017,7,27,46.5,29.7,24.5
2017,7,28,14,30.5,26.1
2017,7,29,-1,32.4,27.3
2017,7,30,4.5,31.7,26.9
2017,7,31,-1,31.6,27.3
2017,8,1,2,31.8,27.6
2017,8,2,63,29.2,24.7
2017,8,3,-1,30,25.8
2017,8,4,-1,31.1,26.1
2017,8,5,-1,31.9,26.4
2017,8,6,0,31.7,26.8
2017,8,7,0,32.3,26.8
2017,8,8,0.5,32.5,26.4
2017,8,9,0,32.8,27.3
2017,8,10,0,32.5,27.8
2017,8,11,-1,33.45,27.7
2017,8,12,-1,33.78,26.4
2017,8,13,-1,33.3,26.6
2017,8,14,0,32.5,26.45
2017,8,15,0,36.5,28.1
2017,8,16,0,33.8,26.1
2017,8,17,0,35.4,27.5
2017,8,18,12.5,33.8,25.3
2017,8,19,84,31.5,25.4
2017,8,20,14.5,31.3,25.4
2017,8,21,29,28.9,24.1
2017,8,22,5.5,31.8,25.4
2017,8,23,-1,34.3,26
2017,8,24,-1,30.2,25.2
2017,8,25,38.5,28.9,24
2017,8,26,9.5,33.1,24.6
2017,8,27,0.5,34.5,26
2017,8,28,9,34.4,23.3
2017,8,29,25.5,32.2,25.5
2017,8,30,0.5,32.4,26.1
2017,8,31,4,32,25.9
2017,9,1,6,33,25.5
2017,9,2,0,32,26.4
2017,9,3,0,33.3,27
2017,9,4,11.5,32,24.6
2017,9,5,36.5,29.3,23.2
2017,9,6,0,31.7,26.2
2017,9,7,0,33.6,27.6
2017,9,8,0,35.6,26.5
2017,9,9,-1,34.3,27.1
2017,9,10,10,33.3,26.4
2017,9,11,111.5,28.6,24.1
2017,9,12,52.5,29.5,24.9
2017,9,13,1.5,33.4,26.1
2017,9,14,16,33.7,25.8
2017,9,15,0,32.1,27.3
2017,9,16,-1,32.5,27.7
2017,9,17,1,33,25.8
2017,9,18,-1,33,26.4
2017,9,19,4,34.9,26.1
2017,9,20,0.5,31.9,26
2017,9,21,0,34.9,26.7
2017,9,22,40.5,32,24.4
2017,9,23,0.5,29.8,26
2017,9,24,0,33.8,26.8
2017,9,25,2.5,31.8,25.9
2017,9,26,18,32.1,25.2
2017,9,27,0.5,33.1,27
2017,9,28,0.5,31.3,26.1
2017,9,29,5.5,30.8,25
2017,9,30,5,33,25.5
2017,10,1,0.5,30.6,26.4
2017,10,2,4,30.78,24.9
2017,10,3,-1,32.2,25.2
2017,10,4,16.5,32.2,24.8
2017,10,5,2.5,30.9,25.4
2017,10,6,0,33.5,26.2
2017,10,7,8,31.7,24.9
2017,10,8,0,28.7,25.8
2017,10,9,-1,28.6,25.8
2017,10,10,6,32.7,25.4
2017,10,11,-1,31.6,26.4
2017,10,12,3,31.4,26.6
2017,10,13,68.5,32,25.7
2017,10,14,11.5,30.9,25.9
2017,10,15,-1,30.8,25.9
2017,10,16,1,33.5,25.6
2017,10,17,10.5,33,26.1
2017,10,18,0,32.2,25.3
2017,10,19,0,30.8,25
2017,10,20,-1,31.6,26.9
2017,10,21,-1,31.2,26.9
2017,10,22,0,32.7,27.2
2017,10,23,-1,32.5,25.9
2017,10,24,0,31.7,24.7
2017,10,25,-1,32.1,24.7
2017,10,26,-1,31.5,25.8
2017,10,27,0,31,26.6
2017,10,28,24,31.7,24.3
2017,10,29,1.5,32.1,25.8
2017,10,30,8,31.9,25.2
2017,10,31,29,28.6,23.5
2017,11,1,23,26,23.5
2017,11,2,1.5,30,24.9
2017,11,3,0.5,32.9,25
2017,11,4,5.5,27.8,24.7
2017,11,5,-1,29.9,25.2
2017,11,6,-1,33.9,25.4
2017,11,7,0,33,24.8
2017,11,8,-1,33.9,25.7
2017,11,9,66.5,28.5,23.6
2017,11,10,2,32,25.3
2017,11,11,0,33.2,25.2
2017,11,12,0,32.6,25.4
2017,11,13,-1,32.9,26.3
2017,11,14,0,33.1,25.3
2017,11,15,0,33.9,25.4
2017,11,16,0.5,33,25.5
2017,11,17,0.5,31.2,24.7
2017,11,18,0,33.6,26.2
2017,11,19,0,33.4,25.7
2017,11,20,0,33,25
2017,11,21,0.5,33,24.8
2017,11,22,-1,33.8,25.4
2017,11,23,2,33.4,25
2017,11,24,9.5,31.7,25.1
2017,11,25,1,32.78,25.6
2017,11,26,0.5,33.5,25.2
2017,11,27,0,33.6,25
2017,11,28,-1,33.5,25.78
2017,11,29,0.5,33.7,26
2017,11,30,0.5,31.6,25.2
2017,12,1,0,32.9,25.4
2017,12,2,0,33.7,25.6
2017,12,3,0,33.9,25.9
2017,12,4,-1,31.8,25
2017,12,5,-1,30.9,25.1
2017,12,6,0,31.9,25.8
2017,12,7,7.5,31.1,24.6
2017,12,8,4,30.2,25.3
2017,12,9,-1,30.6,25.5
2017,12,10,5.5,30.9,25.6
2017,12,11,3.5,29.9,24.3
2017,12,12,1.5,30.1,24.6
2017,12,13,0,30.9,25.4
2017,12,14,-1,30.7,23.5
2017,12,15,0,30.5,22.1
2017,12,16,-1,27.7,24.9
2017,12,17,4.5,28.8,23.5
2017,12,18,9.5,27,23.4
2017,12,19,18.5,29.5,24.3
2017,12,20,1.5,32,24.7
2017,12,21,-1,31.2,24.4
2017,12,22,-1,29.9,25.1
2017,12,23,2.5,29.9,24.4
2017,12,24,0,33,24.4
2017,12,25,0.5,33.3,24.8
2017,12,26,1,30.3,24.9
2017,12,27,1.5,28.3,24.6
2017,12,28,0,31.2,24.7
2017,12,29,0,29.6,23.7
2017,12,30,0,29.5,22.8
2017,12,31,0,30.6,23
2018,1,1,0,30.2,24.2
2018,1,2,0,29.4,24.2
2018,1,3,0,30.4,24.4
2018,1,4,0,30.9,25
2018,1,5,0,32.1,26.7
2018,1,6,0,32.2,24.9
2018,1,7,0,32,24.5
2018,1,8,0,32.5,25.1
2018,1,9,0,33,24.9
2018,1,10,0,31.8,25.6
2018,1,11,0,29.4,24.7
2018,1,12,0,29.8,23.3
2018,1,13,0,30.4,23.1
2018,1,14,0,30.4,23.2
2018,1,15,0,31.9,24.3
2018,1,16,10.5,30.5,23.8
2018,1,17,-1,29.2,24.3
2018,1,18,2,33,24.4
2018,1,19,0,30.8,24.6
2018,1,20,0,32.9,24.2
2018,1,21,-1,31.5,24.5
2018,1,22,-1,32.1,24.2
2018,1,23,-1,31.8,23.6
2018,1,24,1.5,28.7,24
2018,1,25,0,32.5,24
2018,1,26,8,32,23.9
2018,1,27,2.5,27.5,24.7
2018,1,28,-1,28.4,23.6
2018,1,29,0,31.4,24.7
2018,1,30,0.5,31.2,24.1
2018,1,31,0,28.7,23.3
2018,2,1,0,31.2,24.7
2018,2,2,0,30.6,23.8
2018,2,3,-1,30.8,23.1
2018,2,4,0,29.9,24
2018,2,5,0,29.2,22.9
2018,2,6,0,29.6,22.4
2018,2,7,0,29.2,23.2
2018,2,8,0,28.4,21.5
2018,2,9,0,30.1,24.8
2018,2,10,-1,30,24.8
2018,2,11,-1,30.4,25.7
2018,2,12,0,30.9,25.1
2018,2,13,0,31.4,23.9
2018,2,14,0,29.2,25.2
2018,2,15,0,32.9,24.8
2018,2,16,0,33.2,26
2018,2,17,0,33.5,24.3
2018,2,18,0,33.1,23.1
2018,2,19,0,33.3,24.1
2018,2,20,0,33.3,25.8
2018,2,21,0,33.1,26.2
2018,2,22,0,33.5,23.1
2018,2,23,0,32.7,23.1
2018,2,24,0,33.7,24.8
2018,2,25,0,32.8,24.4
2018,2,26,0,33.9,25.8
2018,2,27,-1,31.8,24.5
2018,2,28,0,33.9,25.8
2018,3,1,0,33.9,26.8
2018,3,2,0,33.7,25.7
2018,3,3,0,33.7,25.6
2018,3,4,0,34.2,26.1
2018,3,5,0,33.6,26.5
2018,3,6,0,34.3,25.3
2018,3,7,0,33.8,26
2018,3,8,10.5,31.9,22.7
2018,3,9,-1,30.2,23.8
2018,3,10,0,31,23.3
2018,3,11,0,31.5,22.7
2018,3,12,0,31.8,23.4
2018,3,13,0,32.7,25
2018,3,14,0,32.9,23.7
2018,3,15,0,33.2,25.4
2018,3,16,0,33.7,25.8
2018,3,17,0,33.5,26.1
2018,3,18,0,33.8,24.1
2018,3,19,0,33.5,24.1
2018,3,20,0,34.8,25.9
2018,3,21,17,33.3,23.2
2018,3,22,0,30.6,24.9
2018,3,23,0,30.7,24.7
2018,3,24,0,31.1,22.4
2018,3,25,0,31.4,23.2
2018,3,26,0,31.7,24.7
2018,3,27,0,31.1,23
2018,3,28,0,33.3,25.3
2018,3,29,1,32.9,24.1
