Year,Month,1,2,4,5,8,13,15,16,17,18,19,20,21,22,23
2017,1,27.0,25.5,25.7,27.5,26.2,,28.0,28.9,26.5,25.2,,,,,
2017,2,28.0,25.0,26.0,28.0,26.0,,27.0,27.0,26.0,25.0,,,,,
2017,3,27.0,28.0,28.0,28.0,28.0,,28.0,30.0,28.0,28.0,,,,,
2017,4,27.0,27.4,27.0,28.0,27.0,,27.0,27.0,27.0,27.0,,,,,
2017,5,36.0,36.0,36.0,38.0,36.0,,36.0,36.0,37.0,36.0,,,,,
2017,6,33.0,31.0,30.0,32.0,33.0,,32.0,32.0,33.0,33.0,,,,,
2017,7,31.5,30.5,31.0,32.0,31.5,,31.5,31.5,32.0,31.0,,,,,
2017,8,31.8,30.0,32.0,31.0,31.0,,30.0,30.0,32.0,31.0,,,,,
2017,9,31.0,31.0,30.0,31.0,31.0,,31.0,31.0,31.0,32.0,,,,,
2017,10,30.0,29.5,30.0,29.0,32.0,,29.5,30.0,31.0,29.5,,,,,
2017,11,27.5,27.5,27.5,26.5,28.0,,27.0,27.0,28.0,28.0,,,,,
2017,12,29.0,28.0,29.0,29.0,30.0,,29.3,28.0,29.0,28.5,,,,,
2018,1,27.0,27.0,27.0,28.0,27.0,,27.0,28.0,27.0,27.0,,,,,
2018,2,28.0,26.0,27.0,27.0,25.0,,28.0,28.0,29.0,25.0,,,,,
2018,3,28.0,28.0,28.0,26.0,28.0,,28.0,28.0,28.0,28.0,,,,,
2018,4,28.0,28.0,27.0,27.0,28.0,,28.0,28.0,27.0,27.0,,,,,
2018,5,30.0,31.0,30.0,32.0,32.0,,32.0,32.0,31.0,30.0,,,,,
2018,6,31.0,35.0,33.0,32.0,33.0,,32.0,33.0,35.0,34.0,,,,,
2018,7,30.0,29.0,30.0,29.0,30.0,,30.0,29.0,29.0,30.0,,,,,
2018,8,29.0,31.0,33.0,28.0,29.0,,28.0,29.0,33.0,33.0,,,,,
2018,9,31.0,30.0,29.0,30.0,31.0,,31.0,30.0,26.0,29.0,,,,,
2018,10,31.0,31.0,30.0,31.0,31.0,,31.0,31.0,30.0,32.0,,,,,
2018,11,29.0,29.0,29.0,30.0,29.0,,30.0,29.0,28.0,29.0,,,,,
2018,12,28.0,28.0,27.0,28.0,28.0,,28.0,28.0,27.0,27.0,,,,,
2019,1,26.0,20.0,20.0,27.0,27.0,,26.0,26.0,21.0,20.0,,,,,
2019,2,27.0,26.0,26.0,28.0,27.0,,27.0,27.0,26.0,26.0,,,,,
2019,3,27.0,23.0,23.0,29.0,27.0,,29.0,28.0,22.0,22.0,,,,,
2019,4,27.0,29.0,29.0,28.0,27.0,,29.0,28.0,29.0,30.0,,,,,
2019,5,27.0,29.0,29.0,28.0,27.0,,29.0,28.0,29.0,30.0,,,,,
2019,6,33.0,32.0,31.0,34.0,32.0,,33.0,33.0,32.0,32.0,,,,,
2019,7,28.0,29.0,29.0,28.0,29.0,,29.0,29.0,29.0,29.0,,,,,
2019,8,26.0,28.0,30.0,26.0,29.0,,28.0,28.0,28.0,28.0,,,,,
2019,9,25.0,29.0,27.0,33.0,24.0,,25.0,25.0,27.0,29.0,,,,,
2019,10,30.0,32.0,32.0,32.0,30.0,,30.0,30.0,32.0,33.0,,,,,
2019,11,31.0,31.0,31.0,34.0,32.0,,32.0,33.0,30.0,30.0,,,,,
2019,12,27.0,25.0,27.0,27.0,26.0,,26.0,25.0,28.0,25.0,,,,,
2020,1,27.0,26.6,26.5,29.0,27.0,,28.0,28.0,26.6,26.4,,,,,
2020,2,25.4,26.0,26.0,25.9,25.8,,25.4,25.4,26.0,26.0,,,,,
2020,3,27.0,26.0,26.0,29.0,27.0,,29.0,29.0,26.0,26.0,,,,,
2020,4,*,*,*,*,*,,*,*,*,*,,,,,
2020,5,*,*,*,*,*,,*,*,*,*,,,,,
2020,6,*,*,*,*,*,,*,*,*,*,,,,,
2020,7,*,*,*,*,*,,*,*,*,*,,,,,
2020,8,*,*,*,*,*,,*,*,*,*,,,,,
2020,9,31.3,31.0,31.0,31.8,31.2,,32.3,31.2,31.0,30.0,,,,,
2020,10,31.0,28.0,30.0,33.0,31.3,,32.4,32.2,30.0,28.5,,,,,
2020,11,24.0,27.5,29.0,25.0,23.0,,24.0,24.0,28.0,27.5,,,,,
2020,12,24.0,27.5,29.0,25.0,23.0,,24.0,24.0,28.0,27.5,,,,,
2021,1,34.0,25.0,36.0,25.0,26.0,24.0,25.0,25.0,35.0,24.0,24.0,23.0,33.0,26.0,24.0
2021,2,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,25.0,26.0,26.0
2021,3,28.0,28.0,27.0,28.0,28.0,27.0,24.0,25.0,28.0,25.0,24.0,28.0,27.0,28.0,27.0
2021,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,5,30.0,31.0,30.0,31.0,32.0,31.0,30.0,30.0,32.0,30.0,30.0,30.0,31.0,32.0,30.0
2021,6,31.0,28.0,31.0,35.0,28.0,36.0,32.0,31.0,33.0,27.0,33.0,31.0,32.0,28.0,27.0
2021,7,30.0,30.0,30.0,30.0,31.0,29.0,30.0,30.0,29.0,30.0,30.0,29.0,29.0,31.0,29.0
2021,8,28.0,29.0,29.0,28.0,29.0,28.0,28.0,28.0,*,29.0,28.0,29.0,29.0,29.0,28.0
2021,9,30.0,28.0,31.0,31.0,29.0,31.0,30.0,30.0,31.0,27.0,30.0,31.0,31.0,28.0,27.0
2021,10,29.0,28.0,30.0,31.0,29.0,31.0,31.0,30.0,30.0,28.0,31.0,30.0,30.0,29.0,28.0
2021,11,28.0,26.0,28.0,30.0,28.0,30.0,30.0,30.0,28.0,26.0,29.0,27.0,28.0,29.0,25.0
2021,12,26.0,27.0,27.0,28.0,28.0,27.0,28.0,26.0,28.0,27.0,27.0,27.0,28.0,28.0,26.0
